"missing_rate","missing_percent","model","rmse","mae","realised_training_missing_fraction","rmse_mcse","rmse_lower_95_mc","rmse_upper_95_mc"
0,0,"Bayesian Gaussian GNAR",3.83310715409206,2.70940037367055,0,7.0622576339966e-05,3.83296873384244,3.83324557434169
0,0,"Hierarchical Bayesian GNAR",3.78805381456841,2.65479139662931,0,6.89265096652593e-05,3.78791871860947,3.78818891052735
0,0,"Unrestricted VAR",4.15854753779602,2.99983243361146,0,0,4.15854753779602,4.15854753779602
0.1,10,"Bayesian Gaussian GNAR",3.83534710476535,2.70970809776263,0.0985502283105023,0.0020649885459747,3.83129972721524,3.83939448231546
0.1,10,"Hierarchical Bayesian GNAR",3.79337124132929,2.65837248179663,0.0985502283105023,0.00202597242000579,3.78940033538608,3.7973421472725
0.1,10,"Unrestricted VAR",4.01378021096189,2.87119929090632,0.0985502283105023,0.0487764249348376,3.91817841808961,4.10938200383417
0.2,20,"Bayesian Gaussian GNAR",3.83376077210816,2.70992004114928,0.197899543378995,0.00265723317862157,3.82855259507806,3.83896894913826
0.2,20,"Hierarchical Bayesian GNAR",3.79623716445858,2.66411133430732,0.197899543378995,0.00281186326026514,3.79072591246846,3.8017484164487
0.2,20,"Unrestricted VAR",3.90314966492762,2.79171706734322,0.197899543378995,0.0328860854563944,3.83869293743308,3.96760639242215
0.3,30,"Bayesian Gaussian GNAR",3.83972415478889,2.71527274975311,0.29703196347032,0.00469489146187004,3.83052216752362,3.84892614205415
0.3,30,"Hierarchical Bayesian GNAR",3.80876304196565,2.6767194792514,0.29703196347032,0.00550592655945974,3.79797142590911,3.81955465802219
0.3,30,"Unrestricted VAR",4.03717755996573,2.88388297231389,0.29703196347032,0.0488013597626289,3.94152689483098,4.13282822510048
0.4,40,"Bayesian Gaussian GNAR",3.8416005929721,2.71885785844624,0.396826484018265,0.00480645752997071,3.83217993621336,3.85102124973084
0.4,40,"Hierarchical Bayesian GNAR",3.81410331029115,2.68589155378272,0.396826484018265,0.00595989372598134,3.80242191858822,3.82578470199407
0.4,40,"Unrestricted VAR",4.00640648875323,2.87586605598576,0.396826484018265,0.0241567225269505,3.95905931260041,4.05375366490606
0.5,50,"Bayesian Gaussian GNAR",3.87376056168618,2.72121971711774,0.4962899543379,0.0103611716307765,3.85345266528986,3.8940684580825
0.5,50,"Hierarchical Bayesian GNAR",3.8613199610368,2.70690126658432,0.4962899543379,0.0102472020126389,3.84123544509203,3.88140447698157
0.5,50,"Unrestricted VAR",4.0382185266072,2.90571442162886,0.4962899543379,0.0362547317635759,3.96715925235059,4.1092778008638
0.6,60,"Bayesian Gaussian GNAR",3.87076008543076,2.72989516017164,0.595445205479452,0.0145146323258085,3.84231140607217,3.89920876478934
0.6,60,"Hierarchical Bayesian GNAR",3.86794465795527,2.72356815978806,0.595445205479452,0.0153629527115365,3.83783327064066,3.89805604526988
0.6,60,"Unrestricted VAR",4.05116085283988,2.89988172089318,0.595445205479452,0.0311815115768298,3.9900450901493,4.11227661553047
