"date","EB","IMGM","PRES","BIRR","BLC2","BOTR","GHSR","LEAM","NPT3","REA1","SOUT","WREX","LEAR","PLYM","SHDG","SHE","BEL2","GLKP","LECU","SUN2","TRAN","STOK","BEX","SEND","HUL2","PEMB","WFEN","OSY","ACTH","COPP"
2024-01-01,6.89958333333333,3.69704166666667,5.360625,4.38579166666667,5.65345833333333,3.745125,5.45304166666667,3.81283333333333,5.071875,4.950875,5.56016666666667,4.59320833333333,3.47091666666667,8.19675,4.01829166666667,3.75491666666667,4.845875,4.87616666666667,3.94658333333333,4.31604166666667,5.20833333333333,3.911125,5.290875,4.86641666666667,4.95779166666667,4.81916666666667,3.63608333333333,6.30516666666667,20.8855,3.65383333333333
2024-01-02,8.717625,3.63404166666667,5.679125,4.2325,7.41945833333333,3.51316666666667,4.97741666666667,3.373625,6.486875,4.28775,5.93854166666667,4.09791666666667,3.36966666666667,10.6113333333333,3.98304166666667,4.239375,10.21825,4.57845833333333,3.14079166666667,8.41195833333333,5.01870833333333,4.05175,3.81291666666667,3.401125,4.98716666666667,5.92570833333333,2.727,4.624625,6.74633333333333,4.04195833333333
2024-01-03,8.50733333333333,6.301125,4.89875,3.71945833333333,5.120875,3.73825,4.29845833333333,3.61233333333333,5.36370833333333,5.18975,6.46820833333333,3.431625,3.64295833333333,9.60504166666667,2.99520833333333,4.21295833333333,6.91433333333333,3.74129166666667,4.22766666666667,5.45008333333333,3.72545833333333,4.2914347826087,5.71145833333333,5.11152173913043,8.92891666666667,4.90870833333333,3.16433333333333,5.13470833333333,4.33175,3.31175
2024-01-04,7.307375,8.59279166666667,7.47841666666667,9.257,7.70829166666667,8.20854166666667,4.10579166666667,7.46275,6.674625,5.159125,6.017125,7.20625,6.59108333333333,6.728625,10.4325,10.8382916666667,7.23558333333333,3.82470833333333,7.03925,4.39370833333333,8.73129166666667,9.16575,5.20926086956522,4.94691666666667,11.1389583333333,6.55758333333333,4.39079166666667,5.22108333333333,2.36825,9.28758333333333
2024-01-05,4.30525,6.538,10.9669583333333,8.81104166666667,9.37608333333333,10.0718333333333,5.45795833333333,9.19520833333333,3.50341666666667,5.35473913043478,4.52629166666667,3.574,8.53775,6.37683333333333,7.519625,10.3400833333333,6.61266666666667,4.374,9.93416666666667,6.502625,4.938125,12.5590833333333,6.86320833333333,3.9465,7.9245,3.385375,3.356875,1.93891666666667,2.59341666666667,7.8175
2024-01-06,4.43495833333333,6.31675,9.99420833333333,9.87520833333333,8.08275,8.54270833333333,9.385,9.77508333333333,4.898875,7.347875,4.98441666666667,4.48020833333333,8.98683333333333,7.976625,6.173375,7.06570833333333,6.99004166666667,7.88125,8.34804166666667,6.34947826086957,9.34258333333333,11.8632083333333,4.32791666666667,3.02775,5.87558333333333,3.13679166666667,3.01595833333333,2.49804166666667,2.65729166666667,14.630625
2024-01-07,3.628125,4.292375,13.2184583333333,7.00775,11.6992083333333,5.55925,11.143,5.74391666666667,5.51308333333333,4.23733333333333,5.365625,8.44633333333333,5.20641666666667,6.212625,6.04279166666667,5.720375,35.652625,10.551375,5.32720833333333,5.42454166666667,9.87529166666667,11.5281666666667,4.23754166666667,3.96120833333333,9.79854166666667,3.16525,3.39425,3.23116666666667,5.68595833333333,19.0183333333333
2024-01-08,4.86441666666667,4.42216666666667,5.903125,7.09716666666667,5.26833333333333,6.45941666666667,11.3867083333333,4.830125,4.775,3.98691304347826,5.16220833333333,9.05958333333333,4.62466666666667,5.55425,7.16783333333333,7.16008333333333,15.5514166666667,9.892,5.21720833333333,5.34991666666667,7.91283333333333,6.613625,4.945,4.32395833333333,6.05645833333333,4.02129166666667,3.94466666666667,4.07133333333333,4.67966666666667,6.87208333333333
2024-01-09,8.068125,5.30958333333333,4.18960869565217,6.41129166666667,3.92121739130435,5.95816666666667,3.290125,5.495375,5.805875,6.48391666666667,7.68283333333333,7.64729166666667,5.18275,8.89969565217391,6.57725,6.59491666666667,6.259875,3.41304166666667,5.81766666666667,3.66066666666667,5.77933333333333,5.80966666666667,7.94829166666667,6.873,6.10354166666667,4.947,5.17491666666667,6.68629166666667,2.64258333333333,5.1995
2024-01-10,12.2955833333333,1.61858333333333,2.210125,4.25616666666667,1.820875,3.57016666666667,2.04304166666667,3.11029166666667,3.66758333333333,4.77604166666667,5.909,5.49733333333333,2.78304166666667,7.03525,4.59416666666667,4.4605,3.31966666666667,1.78475,3.22920833333333,3.290125,3.99439130434783,4.269875,6.54866666666667,7.21016666666667,2.90979166666667,4.21583333333333,4.53916666666667,6.77379166666667,1.42691666666667,3.00616666666667
