"concentration_decile","covered_95","forecast_error","interval_width"
1,0.990990990990991,2.51577464992803,12.9424346547847
2,0.990990990990991,2.23571135660464,12.9373250906355
3,1,1.48641960380869,12.9348835251513
4,0.995495495495496,1.08603867160617,12.9516112876141
5,0.990990990990991,0.621586567784456,12.9109920237132
6,0.995495495495496,0.0589913257403206,12.9082454828894
7,0.977477477477477,-0.34091513649211,12.9420259245486
8,0.981981981981982,-0.970030449886901,12.9522498970156
9,0.891891891891892,-2.57490723463654,12.9365668428712
10,0.454954954954955,-6.90763705192192,12.9442781340397
