"network","lag","stage","nacf","pnacf","abs_nacf","abs_pnacf","selection_period_start","selection_period_end"
"equal_neighbour",1,1,0.600630923306713,0.600630923306713,0.600630923306713,0.600630923306713,"2024-01-01","2024-08-31"
"equal_neighbour",2,1,0.405248484717768,0.046534818585566,0.405248484717768,0.046534818585566,"2024-01-01","2024-08-31"
"equal_neighbour",3,1,0.291178113292539,0.0482984010707303,0.291178113292539,0.0482984010707303,"2024-01-01","2024-08-31"
"equal_neighbour",4,1,0.220740045194429,0.0180264966237445,0.220740045194429,0.0180264966237445,"2024-01-01","2024-08-31"
"equal_neighbour",5,1,0.179748884379815,0.0222727528169048,0.179748884379815,0.0222727528169048,"2024-01-01","2024-08-31"
"equal_neighbour",6,1,0.0899725800218507,-0.0714904694952931,0.0899725800218507,0.0714904694952931,"2024-01-01","2024-08-31"
"equal_neighbour",7,1,0.0760164063877299,0.0377793117641878,0.0760164063877299,0.0377793117641878,"2024-01-01","2024-08-31"
"equal_neighbour",8,1,0.0571970023759627,-0.026645529129284,0.0571970023759627,0.026645529129284,"2024-01-01","2024-08-31"
"equal_neighbour",9,1,0.0434585157339457,-0.00911458093752871,0.0434585157339457,0.00911458093752871,"2024-01-01","2024-08-31"
"equal_neighbour",10,1,0.0619830808142291,0.0300984204734178,0.0619830808142291,0.0300984204734178,"2024-01-01","2024-08-31"
"equal_neighbour",11,1,0.072110253374763,0.00843434961452033,0.072110253374763,0.00843434961452033,"2024-01-01","2024-08-31"
"equal_neighbour",12,1,0.0725350598419311,-0.0174785918067191,0.0725350598419311,0.0174785918067191,"2024-01-01","2024-08-31"
