"date","site_id","observed","forecast"
2024-10-19,"EB",4.59525,4.73713159147397
2024-10-19,"IMGM",5.39895833333333,3.98039037508543
2024-10-19,"PRES",6.41229166666667,3.14866652625195
2024-10-19,"BIRR",6.5575,4.1188806434428
2024-10-19,"BLC2",6.879,3.51343266154573
2024-10-19,"BOTR",7.903875,3.90333737679848
2024-10-19,"GHSR",8.922,2.68088592588236
2024-10-19,"LEAM",4.81916666666667,3.34287550005679
2024-10-19,"NPT3",7.3635,4.65984765760746
2024-10-19,"REA1",5.85308333333333,3.59860951002172
2024-10-19,"SOUT",6.33054166666667,4.54479007656411
2024-10-19,"WREX",5.33908333333333,2.23237756085884
2024-10-19,"LEAR",4.47325,3.13664134857749
2024-10-19,"PLYM",8.988875,8.20718428675502
2024-10-19,"SHDG",7.30645833333333,3.91231032719438
2024-10-19,"SHE",6.90154166666667,4.33158843431176
2024-10-19,"BEL2",9.75929166666667,3.49500018868369
2024-10-19,"GLKP",8.60645833333333,2.23536717856259
2024-10-19,"LECU",5.63204166666667,3.17786018163275
2024-10-19,"SUN2",7.334,3.82512198927063
2024-10-19,"TRAN",6.15083333333333,2.33055194102726
2024-10-19,"STOK",5.43045833333333,3.59958129388156
2024-10-19,"BEX",5.739,5.09490074820795
2024-10-19,"SEND",5.04825,4.84242766277
2024-10-19,"HUL2",6.60575,4.86629536442945
2024-10-19,"PEMB",8.29804166666667,3.758991153285
2024-10-19,"WFEN",4.16383333333333,3.85648645524632
2024-10-19,"OSY",4.5675,5.26944207802846
2024-10-19,"ACTH",5.07070833333333,1.13801642484465
2024-10-19,"COPP",5.82845833333333,2.54223837416189
2024-10-20,"EB",6.81508333333333,7.62662147661158
2024-10-20,"IMGM",6.42404166666667,6.88866052904977
2024-10-20,"PRES",7.73504166666667,5.85428663062856
2024-10-20,"BIRR",7.80470833333333,6.85962419806508
2024-10-20,"BLC2",10.3086666666667,6.32656485469719
2024-10-20,"BOTR",7.56970833333333,6.49484591903242
2024-10-20,"GHSR",6.33654166666667,5.24451479119553
2024-10-20,"LEAM",7.55708333333333,5.73541672881767
2024-10-20,"NPT3",10.0374166666667,7.10052375255737
2024-10-20,"REA1",7.57079166666667,6.92696762698819
2024-10-20,"SOUT",8.70775,6.87551290260874
2024-10-20,"WREX",7.40270833333333,5.77576398858304
2024-10-20,"LEAR",7.341875,5.49996611764404
2024-10-20,"PLYM",13.4699583333333,8.41116911262917
2024-10-20,"SHDG",7.46070833333333,6.34432863528231
2024-10-20,"SHE",8.190875,7.10478734669542
2024-10-20,"BEL2",7.01154166666667,6.16323363799211
2024-10-20,"GLKP",5.92479166666667,4.95943014952983
2024-10-20,"LECU",6.88875,6.16482286782363
2024-10-20,"SUN2",7.268125,5.8009210948437
2024-10-20,"TRAN",8.08566666666667,6.18519848809544
2024-10-20,"STOK",7.63866666666667,6.4449224518498
2024-10-20,"BEX",7.169875,8.72043740032683
2024-10-20,"SEND",6.67158333333333,8.69684236767926
2024-10-20,"HUL2",7.497125,7.58382180346099
2024-10-20,"PEMB",11.4229583333333,5.89248767218128
2024-10-20,"WFEN",6.950625,7.51294722219643
2024-10-20,"OSY",7.07645833333333,8.4541238425791
2024-10-20,"ACTH",4.666875,3.14896404252588
2024-10-20,"COPP",7.80183333333333,6.5256191551202
2024-10-21,"EB",5.89833333333333,7.84924185527808
2024-10-21,"IMGM",9.52113043478261,7.50807209264363
2024-10-21,"PRES",7.22095833333333,7.18393213555115
2024-10-21,"BIRR",12.4931666666667,7.58548076970825
2024-10-21,"BLC2",8.54166666666667,8.75556402342922
2024-10-21,"BOTR",11.6794583333333,7.05714088606599
2024-10-21,"GHSR",6.29525,5.86030722531798
2024-10-21,"LEAM",11.4859166666667,7.193862126351
2024-10-21,"NPT3",11.1125,8.71964490680149
2024-10-21,"REA1",10.3047083333333,7.15923159046225
2024-10-21,"SOUT",9.086125,7.71970280385933
2024-10-21,"WREX",7.048,7.00179994652453
2024-10-21,"LEAR",10.975875,6.91883187333598
2024-10-21,"PLYM",12.5807083333333,11.4449364594448
2024-10-21,"SHDG",7.51079166666667,7.46498496058815
2024-10-21,"SHE",7.89216666666667,7.42870086084194
2024-10-21,"BEL2",6.43966666666667,6.92760967830326
2024-10-21,"GLKP",6.09079166666667,5.4286312507497
2024-10-21,"LECU",11.253,6.91995759412594
2024-10-21,"SUN2",4.90383333333333,6.84782976964847
2024-10-21,"TRAN",5.97626086956522,7.29269736936244
2024-10-21,"STOK",9.32395833333333,7.11880056898572
2024-10-21,"BEX",8.946625,7.91904216630809
2024-10-21,"SEND",8.33229166666667,7.35157281422056
2024-10-21,"HUL2",11.3050833333333,7.942399586103
2024-10-21,"PEMB",9.35829166666667,8.37295481307618
2024-10-21,"WFEN",10.3271739130435,7.00749935548877
2024-10-21,"OSY",9.571625,7.70740830888348
2024-10-21,"ACTH",3.405125,3.87791678037813
2024-10-21,"COPP",7.615,7.16206610928186
2024-10-22,"EB",4.2305,7.05418414559906
2024-10-22,"IMGM",7.0215,9.55857391248693
2024-10-22,"PRES",6.46329166666667,9.62130428212985
2024-10-22,"BIRR",8.561375,10.6874604912653
2024-10-22,"BLC2",7.02629166666667,10.9677076769811
2024-10-22,"BOTR",6.869125,9.99673949002786
2024-10-22,"GHSR",6.103625,6.59676352573279
2024-10-22,"LEAM",5.06895833333333,9.70297714299252
2024-10-22,"NPT3",6.402375,9.41068912869838
