"date","site_id","observed","fitted","residual"
2024-01-03,"EB",8.50733333333333,6.83685634192953,1.6704769914038
2024-01-03,"IMGM",6.301125,5.25157634133152,1.04954865866848
2024-01-03,"PRES",4.89875,5.7679749095948,-0.8692249095948
2024-01-03,"BIRR",3.71945833333333,5.8263387048671,-2.10688037153376
2024-01-03,"BLC2",5.120875,6.81504674746453,-1.69417174746453
2024-01-03,"BOTR",3.73825,5.15171100736358,-1.41346100736358
2024-01-03,"GHSR",4.29845833333333,4.98916331138911,-0.690704978055778
2024-01-03,"LEAM",3.61233333333333,4.87792954299534,-1.26559620966201
2024-01-03,"NPT3",5.36370833333333,6.08564622001881,-0.721937886685483
2024-01-03,"REA1",5.18975,5.1374449401002,0.0523050598997958
2024-01-03,"SOUT",6.46820833333333,5.93247318659433,0.535735146738996
2024-01-03,"WREX",3.431625,4.93366052170716,-1.50203552170716
2024-01-03,"LEAR",3.64295833333333,4.77597334585847,-1.13301501252514
2024-01-03,"PLYM",9.60504166666667,8.17503058426318,1.43001108240349
2024-01-03,"SHDG",2.99520833333333,5.61835316833806,-2.62314483500473
2024-01-03,"SHE",4.21295833333333,5.64931959299329,-1.43636125965996
2024-01-03,"BEL2",6.91433333333333,7.7935276632447,-0.879194329911376
2024-01-03,"GLKP",3.74129166666667,4.65191140268108,-0.910619736014411
2024-01-03,"LECU",4.22766666666667,4.87330519432657,-0.645638527659901
2024-01-03,"SUN2",5.45008333333333,6.83115238250432,-1.38106904917099
2024-01-03,"TRAN",3.72545833333333,5.52666142815562,-1.80120309482229
2024-01-03,"STOK",4.2914347826087,5.40680434445843,-1.11536956184973
2024-01-03,"BEX",5.71145833333333,5.48460223926873,0.226856094064599
2024-01-03,"SEND",5.11152173913043,5.13858746233711,-0.0270657232066815
2024-01-03,"HUL2",8.92891666666667,6.17213133121708,2.75678533544959
2024-01-03,"PEMB",4.90870833333333,5.27042149224484,-0.361713158911509
2024-01-03,"WFEN",3.16433333333333,4.55734118263792,-1.39300784930459
2024-01-03,"OSY",5.13470833333333,5.50760254482067,-0.372894211487341
2024-01-03,"ACTH",4.33175,4.41794477149935,-0.0861947714993541
2024-01-03,"COPP",3.31175,5.33454868456334,-2.02279868456334
2024-01-04,"EB",7.307375,6.65044774327113,0.656927256728874
2024-01-04,"IMGM",8.59279166666667,6.15830457338683,2.43448709327985
2024-01-04,"PRES",7.47841666666667,5.39194608519069,2.08647058147598
2024-01-04,"BIRR",9.257,5.55614884805479,3.70085115194521
2024-01-04,"BLC2",7.70829166666667,5.85568732667746,1.85260433998921
2024-01-04,"BOTR",8.20854166666667,5.15612501372932,3.05241665293735
2024-01-04,"GHSR",4.10579166666667,4.66214365970892,-0.556351993042245
