"variable","mean","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","mcse_mean","network","model_order","prior"
"intercept",2.03294148472186,0.0764693778558764,1.88115484236325,2.18189591166765,0.999883608643803,15158.0832771466,15908.3417030479,0.000620961963246888,"equal_neighbour","GNAR(2,[1,1])","Independent Gaussian: intercept variance 10000; coefficient variance 1"
"alpha_lag1",0.426353197699508,0.0155369190540898,0.39574809780595,0.456625892374407,1.00002496078193,15956.1338367772,15549.3372517598,0.000123021979195821,"equal_neighbour","GNAR(2,[1,1])","Independent Gaussian: intercept variance 10000; coefficient variance 1"
"beta_lag1_stage1",0.446272458919291,0.0207193460146303,0.405192551631527,0.487047098678622,1.00006359021012,16088.1118862851,16143.4989372709,0.000163330259442205,"equal_neighbour","GNAR(2,[1,1])","Independent Gaussian: intercept variance 10000; coefficient variance 1"
"alpha_lag2",0.0176764299148306,0.0155120182782447,-0.0126118937472859,0.0478532726944835,0.999878272177017,15565.4651409241,15798.4188543133,0.000124324473821706,"equal_neighbour","GNAR(2,[1,1])","Independent Gaussian: intercept variance 10000; coefficient variance 1"
"beta_lag2_stage1",-0.195990725412826,0.0207002649854253,-0.236419831086309,-0.15529728777332,0.999982713318633,16060.5366753634,15764.4138241089,0.000163304688078832,"equal_neighbour","GNAR(2,[1,1])","Independent Gaussian: intercept variance 10000; coefficient variance 1"
"sigma2",11.0879982536305,0.168994172956939,10.7602970451945,11.4233869420149,0.999956038007859,16022.8084652361,15914.7372002962,0.00133513552884675,"equal_neighbour","GNAR(2,[1,1])","Independent Gaussian: intercept variance 10000; coefficient variance 1"
