"variable","mean","sd","q2.5","q97.5","rhat","ess_bulk","ess_tail","mcse_mean","network","model_order","validation_selected_nu","fitted_nu","likelihood"
"intercept",1.82685672827925,0.0653011374720655,1.7004870341862,1.95506469532917,1.00036120812576,5549.45468202734,9085.11751697371,0.000876827053072324,"equal_neighbour","GNAR(2,[1,1])",46,3,"Student-t"
"alpha_lag1",0.443502625867571,0.0157169040950754,0.412367145697962,0.474369620748587,1.000333442654,4748.54653516707,8387.91515619298,0.000228136640105474,"equal_neighbour","GNAR(2,[1,1])",46,3,"Student-t"
"beta_lag1_stage1",0.341551797808805,0.0202803864579443,0.301656644725086,0.381808848724047,1.00035879702171,5116.17408740589,9030.90371114756,0.000283534609758879,"equal_neighbour","GNAR(2,[1,1])",46,3,"Student-t"
"alpha_lag2",0.0258139346182095,0.0130804939035198,0.000337242950470216,0.0514555572644919,1.0002596819458,6760.93164774263,10789.6000611075,0.000159114821504689,"equal_neighbour","GNAR(2,[1,1])",46,3,"Student-t"
"beta_lag2_stage1",-0.148584018939339,0.0173593234250092,-0.182775863068536,-0.113991427563441,1.00061453770926,6414.56309842303,10056.6375110171,0.000216724668271246,"equal_neighbour","GNAR(2,[1,1])",46,3,"Student-t"
"sigma2",3.89446731016648,0.0856564592714087,3.73066100235461,4.06596688518684,1.00011419829061,4861.46430548127,8422.05247597257,0.00122900664866783,"equal_neighbour","GNAR(2,[1,1])",46,3,"Student-t"
