"date","site_id","observed","forecast_mean","lower_95","upper_95","crps","interval_score_95","pit"
2024-10-19,"EB",4.59525,4.81652030777481,-1.75283942523892,11.3324560156319,0.795828555394575,13.0852954408708,0.457428571428571
2024-10-19,"IMGM",5.39895833333333,5.48427332640635,-1.18166247298511,11.9004274092426,0.78938728114962,13.0820898822277,0.513428571428571
2024-10-19,"PRES",6.41229166666667,5.27593719705232,-1.14588138851191,11.7780956254848,0.909874325481498,12.9239770139967,0.617428571428571
2024-10-19,"BIRR",6.5575,6.15030194684461,-0.317242813409194,12.6167653337386,0.785091693750649,12.9340081471478,0.550571428571429
2024-10-19,"BLC2",6.879,5.67215264142393,-0.878759224413021,11.924311493679,0.966991203460764,12.8030707180921,0.656571428571429
2024-10-19,"BOTR",7.903875,5.95330716451185,-0.495154763940282,12.4407290191835,1.24328800936848,12.9358837831238,0.724857142857143
2024-10-19,"GHSR",8.922,4.01835155490594,-2.45848953847953,10.7492558298465,3.1883445694478,13.207745368326,0.927142857142857
2024-10-19,"LEAM",4.81916666666667,4.99712360251846,-1.52622555105168,11.4325821641446,0.758992429649004,12.9588077151963,0.47
2024-10-19,"NPT3",7.3635,5.58310222824185,-0.860477614788006,12.1621155252394,1.12101976423259,13.0225931400274,0.697428571428571
2024-10-19,"REA1",5.85308333333333,4.92021780893308,-1.80814925445373,11.2669286888232,0.875860903604591,13.075077943277,0.620857142857143
2024-10-19,"SOUT",6.33054166666667,5.5409580176599,-0.852918199479937,11.7852738936813,0.852432812973191,12.6381920931613,0.592285714285714
2024-10-19,"WREX",5.33908333333333,4.8163426497146,-1.55659193174401,11.3716295528252,0.809315834462043,12.9282214845692,0.558
2024-10-19,"LEAR",4.47325,4.74447004386453,-1.85330512006158,11.3324142502621,0.771482399951892,13.1857193703237,0.466571428571429
2024-10-19,"PLYM",8.988875,7.4829879606764,0.965012174179708,13.8565569805383,1.01718903990529,12.8915448063586,0.665142857142857
