"model","rmspe","mae","peak_bias","peak_rmspe","peak_coverage","peak_threshold","peak_count","selected_nu"
"Hierarchical Bayesian GNAR",3.78785513795214,2.65445857459714,-6.90763705192192,8.75519575312857,0.454954954954955,14.2399940217392,222,NA
"Student-t Bayesian GNAR",3.91585273373924,2.70652274838666,-7.72950151396775,9.38871193511849,0.369369369369369,14.2399940217392,222,3
"Peak-weighted GNAR",3.93457370513059,2.88567016201763,-4.27569371288406,7.52391997817617,NA,14.2399940217392,222,NA
