"diagnostic","network","lag","stage","nacf","pnacf","abs_nacf","abs_pnacf"
"NACF","equal_neighbour",1,0,0.629545569287214,0.629545569287214,0.629545569287214,0.629545569287214
"NACF","knn4",1,0,0.629545569287214,0.629545569287214,0.629545569287214,0.629545569287214
"NACF","threshold150km",1,0,0.629545569287214,0.629545569287214,0.629545569287214,0.629545569287214
"NACF","knn4",1,1,0.61045139048274,0.61045139048274,0.61045139048274,0.61045139048274
"NACF","equal_neighbour",1,1,0.600630923306713,0.600630923306713,0.600630923306713,0.600630923306713
"NACF","knn4",1,2,0.589370489170596,0.589370489170596,0.589370489170596,0.589370489170596
"NACF","knn4",1,3,0.569838811545926,0.569838811545926,0.569838811545926,0.569838811545926
"NACF","threshold150km",1,1,0.532465548399732,0.532465548399732,0.532465548399732,0.532465548399732
"NACF","threshold150km",1,2,0.488046046141887,0.488046046141887,0.488046046141887,0.488046046141887
"NACF","threshold150km",1,3,0.428905953371802,0.428905953371802,0.428905953371802,0.428905953371802
"NACF","equal_neighbour",2,1,0.405248484717768,0.046534818585566,0.405248484717768,0.046534818585566
"NACF","equal_neighbour",2,0,0.405231422390907,0.0170557342157381,0.405231422390907,0.0170557342157381
"PNACF","equal_neighbour",1,0,0.629545569287214,0.629545569287214,0.629545569287214,0.629545569287214
"PNACF","knn4",1,0,0.629545569287214,0.629545569287214,0.629545569287214,0.629545569287214
"PNACF","threshold150km",1,0,0.629545569287214,0.629545569287214,0.629545569287214,0.629545569287214
"PNACF","knn4",1,1,0.61045139048274,0.61045139048274,0.61045139048274,0.61045139048274
"PNACF","equal_neighbour",1,1,0.600630923306713,0.600630923306713,0.600630923306713,0.600630923306713
"PNACF","knn4",1,2,0.589370489170596,0.589370489170596,0.589370489170596,0.589370489170596
"PNACF","knn4",1,3,0.569838811545926,0.569838811545926,0.569838811545926,0.569838811545926
"PNACF","threshold150km",1,1,0.532465548399732,0.532465548399732,0.532465548399732,0.532465548399732
"PNACF","threshold150km",1,2,0.488046046141887,0.488046046141887,0.488046046141887,0.488046046141887
"PNACF","threshold150km",1,3,0.428905953371802,0.428905953371802,0.428905953371802,0.428905953371802
"PNACF","knn4",6,1,0.0793949185744255,-0.0798820581923701,0.0793949185744255,0.0798820581923701
"PNACF","knn4",6,2,0.0738295158951264,-0.07972800594152,0.0738295158951264,0.07972800594152
