"date","site_id","observed","forecast_mean","lower_95","upper_95","covered_95","crps","interval_score_95","pit"
2024-10-19,"EB",4.59525,4.41140267239412,-1.76913875218497,10.7959015611173,TRUE,0.565125323303192,12.5650403133022,0.536
2024-10-19,"IMGM",5.39895833333333,4.86526965175602,-1.35068083669652,11.2409784746745,TRUE,0.600884727905294,12.591659311371,0.597
2024-10-19,"PRES",6.41229166666667,4.88686792523555,-1.24164672730762,11.3553493106225,TRUE,0.972520373783039,12.5969960379301,0.75275
2024-10-19,"BIRR",6.5575,5.36489570121922,-1.12817705765291,12.010587428626,TRUE,0.80312568034764,13.1387644862789,0.7005
2024-10-19,"BLC2",6.879,4.90532737347155,-1.40772529083052,11.449110574963,TRUE,1.18900354852626,12.8568358657935,0.80725
2024-10-19,"BOTR",7.903875,5.55467731120435,-0.418869906544894,11.7847990858049,TRUE,1.40778930806656,12.2036689923498,0.83675
2024-10-19,"GHSR",8.922,4.05590143827943,-2.30812974197347,10.3720957199477,TRUE,3.50065338787842,12.6802254619211,0.95725
2024-10-19,"LEAM",4.81916666666667,4.69184913488055,-1.30382332077514,10.7542031694575,TRUE,0.557477412808948,12.0580264902327,0.519
2024-10-19,"NPT3",7.3635,5.34224493462211,-0.986386463358597,11.5052765465073,TRUE,1.24740022842,12.4916630098659,0.808
2024-10-19,"REA1",5.85308333333333,4.66251307317689,-1.78686280657771,11.3303738275651,TRUE,0.789864513101904,13.1172366341428,0.69925
2024-10-19,"SOUT",6.33054166666667,5.22690601678805,-1.01358458586368,11.865561565966,TRUE,0.751688463247406,12.8791461518296,0.6805
2024-10-19,"WREX",5.33908333333333,4.68987303422527,-1.46241871819336,11.1738866145518,TRUE,0.632755194963807,12.6363053327452,0.6225
2024-10-19,"LEAR",4.47325,4.47866180001347,-1.768708133605,10.7073538506434,TRUE,0.551450793357297,12.4760619842484,0.5045
2024-10-19,"PLYM",8.988875,6.92657733958275,0.928566290176002,13.6107594259476,TRUE,1.25596821425585,12.6821931357716,0.8105
2024-10-19,"SHDG",7.30645833333333,5.08811919462419,-1.27900066066778,10.9702256907051,TRUE,1.34662350160969,12.2492263513729,0.826
2024-10-19,"SHE",6.90154166666667,5.8096868561249,-0.619248937229809,12.1858448383536,TRUE,0.793082606902988,12.8050937755834,0.69625
2024-10-19,"BEL2",9.75929166666667,5.5588897883127,-0.690943963776944,11.6500057258747,TRUE,2.92643441975918,12.3409496896516,0.9465
2024-10-19,"GLKP",8.60645833333333,3.94221583425005,-2.64496225365608,10.0158855434805,TRUE,3.37280477013818,12.6608477971365,0.95475
2024-10-19,"LECU",5.63204166666667,4.69831535229616,-1.32641519442586,10.7259979745498,TRUE,0.689927105317404,12.0524131689756,0.66425
2024-10-19,"SUN2",7.334,5.17997039841173,-1.32694056425794,11.4060097726802,TRUE,1.30834705849496,12.7329503369381,0.8265
2024-10-19,"TRAN",6.15083333333333,4.64927307230656,-1.5165752744894,11.1554998103532,TRUE,0.940873084032347,12.6720750848426,0.75675
2024-10-19,"STOK",5.43045833333333,5.2185142344044,-1.0882177742863,11.5431945193776,TRUE,0.55848313548167,12.6314122936639,0.52925
2024-10-19,"BEX",5.739,6.1202145054338,0.185931353815084,12.5995595300471,TRUE,0.564578017562716,12.413628176232,0.43075
2024-10-19,"SEND",5.04825,5.73188381784902,-0.512177369234045,12.0387808902583,TRUE,0.648055033211751,12.5509582594923,0.37425
2024-10-19,"HUL2",6.60575,6.33163806487063,0.122641952839707,12.3258421777965,TRUE,0.558752181728123,12.2032002249568,0.55125
2024-10-19,"PEMB",8.29804166666667,5.29023642279224,-1.11645618358238,12.0667530696004,TRUE,1.92200627463182,13.1832092531828,0.88925
2024-10-19,"WFEN",4.16383333333333,4.80792270135211,-1.37992724586791,11.0665640457708,TRUE,0.615639733651994,12.4464912916388,0.38975
