"site_id","intercept","lag1"
"EB",3.31233759802451,0.493165650049466
"IMGM",2.07293194335126,0.703000672498408
"PRES",2.55085787404888,0.612911802490941
"BIRR",2.89322287454434,0.62108908439183
"BLC2",2.54747579885724,0.652418204292422
"BOTR",2.29323721590587,0.667003538155981
"GHSR",1.75840245821642,0.688076907010109
"LEAM",2.48701856898192,0.616137111786663
"NPT3",2.65226742493053,0.59959827605609
"REA1",2.54614122283459,0.599911523794292
"SOUT",3.22160005200769,0.520342180407169
"WREX",2.10382221455341,0.655739865669428
"LEAR",2.46415639576921,0.608025625327205
"PLYM",3.12987666163374,0.595406105483029
"SHDG",2.23802437892195,0.698260275676022
"SHE",2.46885984898983,0.6620577388006
"BEL2",3.17859987452749,0.5602508224727
"GLKP",1.56479710718938,0.703600730169001
"LECU",2.23254490918289,0.66312724228605
"SUN2",2.17923448286946,0.673680988782232
"TRAN",2.17165104901904,0.670084135428391
"STOK",2.61136636488406,0.626418005588271
"BEX",3.1054464618442,0.575619926037479
"SEND",2.92408837097665,0.579820570085969
"HUL2",2.35853362080075,0.697005748381881
"PEMB",2.0689236470259,0.624850851698242
"WFEN",2.11311417979731,0.665862521666531
"OSY",2.90454991323987,0.575494974199965
"ACTH",1.3140256004172,0.648626879690725
"COPP",2.58328998556173,0.623027338289444
