"date","site_id","observed","forecast_mean","lower_95","upper_95"
2024-10-19,"EB",4.59525,4.80362627839556,-1.65067868656193,11.4136172991644
2024-10-19,"IMGM",5.39895833333333,5.23887739975235,-1.43585100993875,11.744796226415
2024-10-19,"PRES",6.41229166666667,5.25857314736503,-1.27758274849882,11.5156319355587
2024-10-19,"BIRR",6.5575,5.69934697765222,-0.868981077610313,12.1004050949939
2024-10-19,"BLC2",6.879,5.27208484235096,-1.21964722502723,11.8307478749122
2024-10-19,"BOTR",7.903875,5.88594571525314,-0.654392839300151,12.2187597315503
2024-10-19,"GHSR",8.922,4.46419414058591,-2.2280751042018,10.6742622865022
2024-10-19,"LEAM",4.81916666666667,5.06668028336868,-1.3333076525077,11.8266054323737
2024-10-19,"NPT3",7.3635,5.68010211725201,-0.94667954757064,12.350020067978
2024-10-19,"REA1",5.85308333333333,5.03849104923519,-1.68158825702554,11.5595732206076
2024-10-19,"SOUT",6.33054166666667,5.57032829430542,-1.31118015693305,12.1884210534139
2024-10-19,"WREX",5.33908333333333,5.06733072140425,-1.48517897717582,11.4676915086277
2024-10-19,"LEAR",4.47325,4.86763506692139,-1.50083373529155,11.3466548301385
2024-10-19,"PLYM",8.988875,7.18024655167068,0.541480738630336,13.6346817988975
2024-10-19,"SHDG",7.30645833333333,5.44862206070041,-1.20637489846452,12.0989640209105
2024-10-19,"SHE",6.90154166666667,6.13217504331908,-0.275722845476702,12.622154821372
2024-10-19,"BEL2",9.75929166666667,5.88645694917266,-0.65837757860683,12.2842109222311
2024-10-19,"GLKP",8.60645833333333,4.35714118004591,-2.36721431122952,10.7877168939904
2024-10-19,"LECU",5.63204166666667,5.0739621652918,-1.39091869464229,11.6402933439942
2024-10-19,"SUN2",7.334,5.53765694698765,-1.02024912611949,11.7518296859261
2024-10-19,"TRAN",6.15083333333333,5.0332309642744,-1.47104275811435,11.4905418582234
2024-10-19,"STOK",5.43045833333333,5.5720128268076,-1.00375805864884,11.9360212626969
2024-10-19,"BEX",5.739,6.42441172052212,-0.156102215210873,12.8803987803212
2024-10-19,"SEND",5.04825,6.05832986092896,-0.600646403435892,12.4268261716476
2024-10-19,"HUL2",6.60575,6.62636908575715,0.171731504078076,13.2734158421806
2024-10-19,"PEMB",8.29804166666667,5.62859558073544,-0.91332150728189,12.058638359352
2024-10-19,"WFEN",4.16383333333333,5.18287472637932,-1.35298253062308,11.7099431249819
2024-10-19,"OSY",4.5675,5.94043895653534,-0.51078543963693,12.2913929846901
2024-10-19,"ACTH",5.07070833333333,3.9958805107155,-2.55902178612957,10.4665170031887
2024-10-19,"COPP",5.82845833333333,5.15534476736055,-1.36203649141533,11.8419522968951
2024-10-20,"EB",6.81508333333333,5.96313773404343,-0.723725433448278,12.4917844628107
2024-10-20,"IMGM",6.42404166666667,6.32059360925558,-0.037261400642515,12.8459977657434
2024-10-20,"PRES",7.73504166666667,6.73827734766152,0.298218788299553,13.4601648631299
2024-10-20,"BIRR",7.80470833333333,6.82000953850893,0.162146197257338,13.4147873593414
2024-10-20,"BLC2",10.3086666666667,6.92981921500822,0.532284500304653,13.4515941562817
2024-10-20,"BOTR",7.56970833333333,7.38665087470298,0.844187595198222,13.8980156117845
2024-10-20,"GHSR",6.33654166666667,7.72212175129807,1.39200429912718,14.372147789843
2024-10-20,"LEAM",7.55708333333333,6.06974381796272,-0.41255628054674,12.5785699851247
2024-10-20,"NPT3",10.0374166666667,7.15104965031058,0.717145824213249,13.9357081519191
2024-10-20,"REA1",7.57079166666667,6.49321814384137,0.049035550451827,12.9983794906959
2024-10-20,"SOUT",8.70775,6.71967254527081,0.332643641321905,13.0330002946216
2024-10-20,"WREX",7.40270833333333,6.28437251633132,-0.0309842995205059,12.7154814049431
2024-10-20,"LEAR",7.341875,5.91677171229386,-0.586297775600279,12.5365491743033
2024-10-20,"PLYM",13.4699583333333,7.90656983682288,1.32896463126329,14.625398858387
2024-10-20,"SHDG",7.46070833333333,7.11690665709303,0.669506204894068,13.4976975048565
2024-10-20,"SHE",8.190875,6.9901249786036,0.538343499173876,13.4853448494184
2024-10-20,"BEL2",7.01154166666667,8.14873921720616,1.67293669891096,14.6235677195212
2024-10-20,"GLKP",5.92479166666667,7.58631165693754,1.1500863733463,14.1794611365633
2024-10-20,"LECU",6.88875,6.40483708564933,-0.216768705500375,12.9898596528746
2024-10-20,"SUN2",7.268125,7.13401956942524,0.424064817897525,13.7299378084659
