"network","lag","stage","nacf","pnacf","abs_nacf","abs_pnacf","selection_period_start","selection_period_end"
"equal_neighbour",1,0,0.629545569287214,0.629545569287214,0.629545569287214,0.629545569287214,"2024-01-01","2024-08-31"
"equal_neighbour",1,1,0.600630923306713,0.600630923306713,0.600630923306713,0.600630923306713,"2024-01-01","2024-08-31"
"equal_neighbour",1,2,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",1,3,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",2,0,0.405231422390907,0.0170557342157381,0.405231422390907,0.0170557342157381,"2024-01-01","2024-08-31"
"equal_neighbour",2,1,0.405248484717768,0.046534818585566,0.405248484717768,0.046534818585566,"2024-01-01","2024-08-31"
"equal_neighbour",2,2,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",2,3,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",3,0,0.29998124231994,0.0633660608138421,0.29998124231994,0.0633660608138421,"2024-01-01","2024-08-31"
"equal_neighbour",3,1,0.291178113292539,0.0482984010707303,0.291178113292539,0.0482984010707303,"2024-01-01","2024-08-31"
"equal_neighbour",3,2,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",3,3,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",4,0,0.23275175408782,0.0254897605264552,0.23275175408782,0.0254897605264552,"2024-01-01","2024-08-31"
"equal_neighbour",4,1,0.220740045194429,0.0180264966237445,0.220740045194429,0.0180264966237445,"2024-01-01","2024-08-31"
"equal_neighbour",4,2,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",4,3,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",5,0,0.186868849928265,0.0213256650904367,0.186868849928265,0.0213256650904367,"2024-01-01","2024-08-31"
"equal_neighbour",5,1,0.179748884379815,0.0222727528169048,0.179748884379815,0.0222727528169048,"2024-01-01","2024-08-31"
"equal_neighbour",5,2,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",5,3,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",6,0,0.100073488001447,-0.0664625912028809,0.100073488001447,0.0664625912028809,"2024-01-01","2024-08-31"
"equal_neighbour",6,1,0.0899725800218507,-0.0714904694952931,0.0899725800218507,0.0714904694952931,"2024-01-01","2024-08-31"
"equal_neighbour",6,2,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",6,3,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",7,0,0.097787358699572,0.0672387062258664,0.097787358699572,0.0672387062258664,"2024-01-01","2024-08-31"
"equal_neighbour",7,1,0.0760164063877299,0.0377793117641878,0.0760164063877299,0.0377793117641878,"2024-01-01","2024-08-31"
"equal_neighbour",7,2,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",7,3,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",8,0,0.0839340343778325,-0.00898182055534701,0.0839340343778325,0.00898182055534701,"2024-01-01","2024-08-31"
"equal_neighbour",8,1,0.0571970023759627,-0.026645529129284,0.0571970023759627,0.026645529129284,"2024-01-01","2024-08-31"
"equal_neighbour",8,2,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",8,3,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",9,0,0.0754337109288354,0.017765237867223,0.0754337109288354,0.017765237867223,"2024-01-01","2024-08-31"
"equal_neighbour",9,1,0.0434585157339457,-0.00911458093752871,0.0434585157339457,0.00911458093752871,"2024-01-01","2024-08-31"
"equal_neighbour",9,2,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",9,3,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",10,0,0.0973714316765715,0.056397454946554,0.0973714316765715,0.056397454946554,"2024-01-01","2024-08-31"
"equal_neighbour",10,1,0.0619830808142291,0.0300984204734178,0.0619830808142291,0.0300984204734178,"2024-01-01","2024-08-31"
"equal_neighbour",10,2,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",10,3,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",11,0,0.113182389378474,0.0365954222410245,0.113182389378474,0.0365954222410245,"2024-01-01","2024-08-31"
"equal_neighbour",11,1,0.072110253374763,0.00843434961452033,0.072110253374763,0.00843434961452033,"2024-01-01","2024-08-31"
"equal_neighbour",11,2,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",11,3,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",12,0,0.10551429614051,-0.00911709660777327,0.10551429614051,0.00911709660777327,"2024-01-01","2024-08-31"
"equal_neighbour",12,1,0.0725350598419311,-0.0174785918067191,0.0725350598419311,0.0174785918067191,"2024-01-01","2024-08-31"
"equal_neighbour",12,2,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"equal_neighbour",12,3,NA,NA,NA,NA,"2024-01-01","2024-08-31"
"knn4",1,0,0.629545569287214,0.629545569287214,0.629545569287214,0.629545569287214,"2024-01-01","2024-08-31"
"knn4",1,1,0.61045139048274,0.61045139048274,0.61045139048274,0.61045139048274,"2024-01-01","2024-08-31"
"knn4",1,2,0.589370489170596,0.589370489170596,0.589370489170596,0.589370489170596,"2024-01-01","2024-08-31"
"knn4",1,3,0.569838811545926,0.569838811545926,0.569838811545926,0.569838811545926,"2024-01-01","2024-08-31"
"knn4",2,0,0.405231422390907,0.0170557342157381,0.405231422390907,0.0170557342157381,"2024-01-01","2024-08-31"
"knn4",2,1,0.390493154205517,0.0125195924744718,0.390493154205517,0.0125195924744718,"2024-01-01","2024-08-31"
"knn4",2,2,0.384582217950091,0.0244899313112377,0.384582217950091,0.0244899313112377,"2024-01-01","2024-08-31"
"knn4",2,3,0.385296324429449,0.0445960882289976,0.385296324429449,0.0445960882289976,"2024-01-01","2024-08-31"
"knn4",3,0,0.29998124231994,0.0633660608138421,0.29998124231994,0.0633660608138421,"2024-01-01","2024-08-31"
"knn4",3,1,0.286323698719851,0.0552663233434844,0.286323698719851,0.0552663233434844,"2024-01-01","2024-08-31"
"knn4",3,2,0.28252930595881,0.0549288964808457,0.28252930595881,0.0549288964808457,"2024-01-01","2024-08-31"
"knn4",3,3,0.276232663129228,0.0439983348921405,0.276232663129228,0.0439983348921405,"2024-01-01","2024-08-31"
"knn4",4,0,0.23275175408782,0.0254897605264552,0.23275175408782,0.0254897605264552,"2024-01-01","2024-08-31"
"knn4",4,1,0.217818158614983,0.0160294949668883,0.217818158614983,0.0160294949668883,"2024-01-01","2024-08-31"
"knn4",4,2,0.211113477425192,0.0114361505816512,0.211113477425192,0.0114361505816512,"2024-01-01","2024-08-31"
"knn4",4,3,0.21196233425576,0.0206086179342182,0.21196233425576,0.0206086179342182,"2024-01-01","2024-08-31"
"knn4",5,0,0.186868849928265,0.0213256650904367,0.186868849928265,0.0213256650904367,"2024-01-01","2024-08-31"
"knn4",5,1,0.170040683274537,0.00997545275288165,0.170040683274537,0.00997545275288165,"2024-01-01","2024-08-31"
"knn4",5,2,0.164899803848833,0.0100943204641643,0.164899803848833,0.0100943204641643,"2024-01-01","2024-08-31"
"knn4",5,3,0.170351341005668,0.0178104539965629,0.170351341005668,0.0178104539965629,"2024-01-01","2024-08-31"
"knn4",6,0,0.100073488001447,-0.0664625912028809,0.100073488001447,0.0664625912028809,"2024-01-01","2024-08-31"
"knn4",6,1,0.0793949185744255,-0.0798820581923701,0.0793949185744255,0.0798820581923701,"2024-01-01","2024-08-31"
"knn4",6,2,0.0738295158951264,-0.07972800594152,0.0738295158951264,0.07972800594152,"2024-01-01","2024-08-31"
"knn4",6,3,0.0800935509962157,-0.0734499614478114,0.0800935509962157,0.0734499614478114,"2024-01-01","2024-08-31"
"knn4",7,0,0.097787358699572,0.0672387062258664,0.097787358699572,0.0672387062258664,"2024-01-01","2024-08-31"
"knn4",7,1,0.0735267216357085,0.0474257467590289,0.0735267216357085,0.0474257467590289,"2024-01-01","2024-08-31"
"knn4",7,2,0.0644415816926268,0.0367233562477571,0.0644415816926268,0.0367233562477571,"2024-01-01","2024-08-31"
"knn4",7,3,0.0678867626896995,0.033303219892891,0.0678867626896995,0.033303219892891,"2024-01-01","2024-08-31"
"knn4",8,0,0.0839340343778325,-0.00898182055534701,0.0839340343778325,0.00898182055534701,"2024-01-01","2024-08-31"
