"variable","rhat","ess_bulk","ess_tail"
"alpha_lag1",1.00006816617607,13450.9768709299,14900.7692894593
"beta_lag1_stage1",0.999970942005928,13405.444788715,14748.0049658436
"alpha_lag2",0.999990367521071,14766.6235630432,14807.4630865616
"beta_lag2_stage1",1.00000969085599,13978.9014124542,14703.9680222178
"station_EB",1.00008563590672,12028.9451545241,13722.3740345677
"station_IMGM",1.00013514281655,12391.6690023974,14125.508365672
"station_PRES",0.999907745651638,12346.4096953387,13895.3042111713
"station_BIRR",1.00011353541598,12137.5564905088,14176.5524319153
"station_BLC2",0.999920665146465,12658.8125760716,13835.5733942027
"station_BOTR",1.00046982512424,11859.665808898,14300.9509757723
"station_GHSR",0.999918096502399,11549.0028648648,13812.8858663193
"station_LEAM",0.999918212254154,12263.9671762649,14432.136853615
"station_NPT3",1.00002218752117,12358.4417824619,13879.4392993463
"station_REA1",0.999955583259897,11998.6070318617,13884.3977972261
"station_SOUT",0.999974067187129,12343.6987923176,14712.2250542512
"station_WREX",0.999870819995098,12218.8956374388,14026.2469671305
"station_LEAR",0.999939388148102,12606.3520199148,13701.3335234049
"station_PLYM",1.00057251521082,11812.6933362971,14407.0311804134
"station_SHDG",0.99993812905726,11939.2705990816,14198.4480750108
"station_SHE",1.00002849066869,11311.4625347366,13631.2071803556
"station_BEL2",1.0000200226153,12466.3956044644,13459.9932688611
"station_GLKP",1.00028996331116,11243.2962632579,13676.1311316024
"station_LECU",1.00024561566036,11679.66457995,13810.2176879628
"station_SUN2",1.00018582908736,12995.588325245,14199.7564813677
"station_TRAN",0.999898342727878,11672.5505071303,13817.8293493964
"station_STOK",0.999911046774068,11893.1083832145,13797.5912294374
"station_BEX",0.999959793480708,12924.1418514564,13722.4733846384
"station_SEND",1.00003710007801,11663.2262491073,14492.3317908571
"station_HUL2",0.999970028168661,11302.2799515905,13760.1127964579
"station_PEMB",1.00013895368837,10942.4442655437,12371.1097979928
"station_WFEN",1.00005682559007,12486.9700393535,14443.8060950346
"station_OSY",0.999896236364394,12204.7630389315,14614.1954714254
"station_ACTH",1.00004618168257,9502.80707706603,11902.7538407492
"station_COPP",0.999883530957819,11803.9370323219,14137.715039623
"sigma2",1.00048932672163,14918.9072598036,15040.4030718977
"tau2_mu",1.00014506456624,7619.7249421394,10450.4773541868
"mu0",1.00060740470394,6028.01261496134,10399.1244287708
