"date","site_id","observed","persistence","ar1","unrestricted_ols_var","ridge_var","ols_gnar","bayesian_gaussian_gnar","hierarchical_bayesian_gnar"
2025-01-01,"EB",5.44916666666667,6.12125,6.69881474712802,5.60584156222036,6.00076875244166,5.80356514693425,5.80480197354198,6.07075005503643
2025-01-01,"IMGM",2.14425,1.7365,3.28919951916068,2.89130845331174,3.61434832607215,3.4838103944221,3.48471139609404,3.35938084661709
2025-01-01,"PRES",3.46608333333333,2.070625,3.62342174352827,3.9883304522345,4.61562970419942,3.82019473649052,3.82124713659417,3.90101822515492
2025-01-01,"BIRR",3.08166666666667,2.62579166666667,4.23294958586112,3.33946076504747,4.23928424383362,3.96190314371234,3.96287825569449,4.47719882784759
2025-01-01,"BLC2",4.50575,6.28729166666667,6.66732133110257,5.60509117551772,5.78089225760624,6.21425530940707,6.21575931850894,6.18893608377047
2025-01-01,"BOTR",2.14533333333333,2.15304166666667,3.39003596796924,2.89828719778286,3.47016287235955,3.7036162964188,3.70454875482038,3.54115643486735
2025-01-01,"GHSR",3.2615,4.2305,4.65958244665055,3.82562744811706,3.87712035697596,4.90660894924098,4.90778242168391,4.2018521104969
2025-01-01,"LEAM",3.24979166666667,2.14720833333333,3.61695370114055,2.62578811657139,3.44541197721767,3.67802478893897,3.67893906193552,3.73803440597277
2025-01-01,"NPT3",5.124875,3.13495833333333,4.51982895131506,3.92453020630599,4.58325918192786,4.22484762725513,4.22585666749572,4.34071956616414
2025-01-01,"REA1",3.05825,3.147625,4.28708230752249,4.07173174964071,4.61374123894718,4.21171886077109,4.21271324117105,4.40983403461319
2025-01-01,"SOUT",4.99908333333333,5.41179166666667,6.37225949349757,5.15206300228952,5.7284056867156,5.41033984889253,5.41150824098483,5.85663637396482
2025-01-01,"WREX",1.77079166666667,1.56154166666667,3.13180861042981,2.90161587379959,3.44880105788221,3.36313860134475,3.36400404692854,3.24673429593857
2025-01-01,"LEAR",3.19383333333333,2.17575,3.56687951201206,2.61392275726878,3.38865133000637,3.69014019625253,3.69105430280383,3.64297058606454
2025-01-01,"PLYM",7.40375,6.21954166666667,7.09397833889711,7.49732853974922,7.56112546361754,5.8929770035241,5.89425084507228,6.41456435125965
2025-01-01,"SHDG",2.51679166666667,1.2825,3.16354099653583,2.74536489000596,3.39632601304826,3.25147864081589,3.25235106397935,3.57788284293329
2025-01-01,"SHE",2.30941666666667,1.360125,3.14599731358109,2.97993578870453,3.77833514460206,3.27764773562978,3.27851436114103,3.34030302637917
2025-01-01,"BEL2",3.67445833333333,4.30916666666667,5.41370940602479,4.89713375025887,5.15763668192462,4.98287289292545,4.98407969765181,5.06225280189048
2025-01-01,"GLKP",3.34708333333333,4.011375,4.42328883401258,3.42527039331172,3.48878376714405,4.77048343555113,4.77162420595085,3.96348265516457
2025-01-01,"LECU",2.437125,2.097125,3.67452500724328,2.55429068866538,3.42051414300023,3.66015344895093,3.66107068450456,3.80977746856535
2025-01-01,"SUN2",2.51283333333333,1.253,2.91567891720793,2.43646070135253,3.1553988054271,3.39600821184904,3.39700459451803,3.28812755074223
2025-01-01,"TRAN",3.08570833333333,1.73058333333333,3.36629936489556,3.09457798279495,3.78261604250684,3.58006464826892,3.58104353116113,3.65329893943113
2025-01-01,"STOK",1.85729166666667,1.67945833333333,3.54302884703891,2.60644916006315,3.84085444120054,3.45634509567007,3.45724386664367,3.89167726319827
2025-01-01,"BEX",3.14079166666667,4.37108333333333,5.61402659617802,3.94040139421711,4.75250881268896,4.9180849102651,4.91921957260678,5.53102449469049
2025-01-01,"SEND",3.34033333333333,4.044875,5.14229737150958,3.41046365338229,4.53565622890793,4.73734713622286,4.73845038514816,5.1158188217125
2025-01-01,"HUL2",2.95008333333333,2.28291666666667,4.00832909499878,3.24265055169263,4.3536240925733,3.92818754588276,3.92925280007107,4.43617262798839
2025-01-01,"PEMB",5.87675,5.578875,5.67616263854438,4.84869854022003,5.04922298442158,5.45157423081887,5.45271824750076,4.89364858788411
2025-01-01,"WFEN",2.14629166666667,2.3005,3.55979366109815,3.01835789127643,3.56286015220125,3.8023037135379,3.8032637612085,3.45658958374629
2025-01-01,"OSY",3.801125,4.325875,5.22616239323977,4.05114781823417,4.8471007070901,4.96930058567401,4.9704910051557,4.84021771111092
2025-01-01,"ACTH",2.0966,1.97425,2.56219804340907,2.16411284770885,2.38864482534686,3.61955030595201,3.62047736567692,2.20413382464018
2025-01-01,"COPP",2.00475,1.752125,2.96239527025042,2.42580131609661,2.96379300962494,3.47463944215559,3.47552789648331,3.16514900298609
2025-01-02,"EB",5.249625,5.44916666666667,6.25238036908394,5.33138015648326,5.40718209375806,5.69237553727596,5.69371382089027,5.89289869040925
2025-01-02,"IMGM",3.26270833333333,2.14425,3.56586595670359,3.21112497054681,3.8848907490946,3.60539586327812,3.60621421251547,3.49607052139165
2025-01-02,"PRES",8.52208333333333,3.46608333333333,4.59492254922982,3.98550078817926,4.47464751057854,4.31404760225778,4.31497454757348,4.42686248256039
2025-01-02,"BIRR",6.9075,3.08166666666667,4.55467229267808,3.72034221482822,4.26888877730155,4.16588244515587,4.16682346510092,4.67375682025386
2025-01-02,"BLC2",4.44495833333333,4.50575,5.46650774278903,4.72968139684408,5.24715591876769,5.22251729753819,5.22380638571497,5.27958597413808
2025-01-02,"BOTR",6.85141666666667,2.14533333333333,3.38451866396316,3.19750107112003,4.00047227441764,3.64293995156897,3.6437875241077,3.49781069459301
2025-01-02,"GHSR",3.3835,3.2615,4.00685259868202,3.15307350224888,3.62277933411745,4.40075008704451,4.40181501223179,3.72700110259809
2025-01-02,"LEAM",7.70441666666667,3.24979166666667,4.38499487087683,3.29622867942501,3.54919171478847,4.20974602438844,4.21066438665458,4.24286942403337
2025-01-02,"NPT3",8.22725,5.124875,5.83529085440039,4.4052925408018,4.48898210015405,5.2606240437475,5.26173241366323,5.30314683281179
2025-01-02,"REA1",5.56508333333333,3.05825,4.22172619385044,3.67724502515905,3.97282837312112,4.20019126156361,4.20116729472914,4.38519723533372
2025-01-02,"SOUT",5.58670833333333,4.99908333333333,6.10387391119237,4.9991826364016,5.06381752517284,5.39818476516793,5.39944438002869,5.78179048175208
2025-01-02,"WREX",4.64725,1.77079166666667,3.27496368487971,3.00355953642344,3.50980108641089,3.39802679450715,3.3988088238465,3.29765061612802
2025-01-02,"LEAR",7.31325,3.19383333333333,4.27529255711257,3.21379118092592,3.51548459734657,4.18353647418581,4.18445322675565,4.11038941097448
2025-01-02,"PLYM",6.35220833333333,7.40375,7.81385040221004,6.94786735335569,7.11742456404627,6.70510894450926,6.7065801080974,7.11049247711839
2025-01-02,"SHDG",3.38845833333333,2.51679166666667,4.02679627117807,3.23860307437168,4.14676880427977,3.75644451002044,3.75725509970182,4.0859742240201
