"date","site_id","observed","forecast"
2024-10-19,"EB",4.59525,3.42475
2024-10-19,"IMGM",5.39895833333333,4.52141666666667
2024-10-19,"PRES",6.41229166666667,4.55875
2024-10-19,"BIRR",6.5575,5.45595833333333
2024-10-19,"BLC2",6.879,4.542125
2024-10-19,"BOTR",7.903875,5.98175
2024-10-19,"GHSR",8.922,2.5875
2024-10-19,"LEAM",4.81916666666667,4.01633333333333
2024-10-19,"NPT3",7.3635,5.43741666666667
2024-10-19,"REA1",5.85308333333333,3.944625
2024-10-19,"SOUT",6.33054166666667,5.17091666666667
2024-10-19,"WREX",5.33908333333333,4.04875
2024-10-19,"LEAR",4.47325,3.58008333333333
2024-10-19,"PLYM",8.988875,8.985
2024-10-19,"SHDG",7.30645833333333,5.00195833333333
2024-10-19,"SHE",6.90154166666667,6.62245833333333
2024-10-19,"BEL2",9.75929166666667,5.940375
2024-10-19,"GLKP",8.60645833333333,2.34158333333333
2024-10-19,"LECU",5.63204166666667,4.04775
2024-10-19,"SUN2",7.334,5.23779166666667
2024-10-19,"TRAN",6.15083333333333,4.02129166666667
2024-10-19,"STOK",5.43045833333333,5.29283333333333
2024-10-19,"BEX",5.739,7.291625
2024-10-19,"SEND",5.04825,6.44566666666667
2024-10-19,"HUL2",6.60575,7.790875
2024-10-19,"PEMB",8.29804166666667,5.28791666666667
2024-10-19,"WFEN",4.16383333333333,4.368125
2024-10-19,"OSY",4.5675,6.19408333333333
2024-10-19,"ACTH",5.07070833333333,1.60275
2024-10-19,"COPP",5.82845833333333,4.31895833333333
2024-10-20,"EB",6.81508333333333,4.59525
2024-10-20,"IMGM",6.42404166666667,5.39895833333333
2024-10-20,"PRES",7.73504166666667,6.41229166666667
2024-10-20,"BIRR",7.80470833333333,6.5575
2024-10-20,"BLC2",10.3086666666667,6.879
2024-10-20,"BOTR",7.56970833333333,7.903875
2024-10-20,"GHSR",6.33654166666667,8.922
2024-10-20,"LEAM",7.55708333333333,4.81916666666667
2024-10-20,"NPT3",10.0374166666667,7.3635
2024-10-20,"REA1",7.57079166666667,5.85308333333333
2024-10-20,"SOUT",8.70775,6.33054166666667
2024-10-20,"WREX",7.40270833333333,5.33908333333333
2024-10-20,"LEAR",7.341875,4.47325
2024-10-20,"PLYM",13.4699583333333,8.988875
2024-10-20,"SHDG",7.46070833333333,7.30645833333333
2024-10-20,"SHE",8.190875,6.90154166666667
2024-10-20,"BEL2",7.01154166666667,9.75929166666667
2024-10-20,"GLKP",5.92479166666667,8.60645833333333
2024-10-20,"LECU",6.88875,5.63204166666667
2024-10-20,"SUN2",7.268125,7.334
2024-10-20,"TRAN",8.08566666666667,6.15083333333333
2024-10-20,"STOK",7.63866666666667,5.43045833333333
2024-10-20,"BEX",7.169875,5.739
2024-10-20,"SEND",6.67158333333333,5.04825
2024-10-20,"HUL2",7.497125,6.60575
2024-10-20,"PEMB",11.4229583333333,8.29804166666667
2024-10-20,"WFEN",6.950625,4.16383333333333
2024-10-20,"OSY",7.07645833333333,4.5675
2024-10-20,"ACTH",4.666875,5.07070833333333
2024-10-20,"COPP",7.80183333333333,5.82845833333333
