"date","site_id","observed","forecast","error"
2024-10-19,"EB",4.59525,5.00130665803142,-0.406056658031421
2024-10-19,"IMGM",5.39895833333333,5.25149090066344,0.147467432669887
2024-10-19,"PRES",6.41229166666667,5.34496955365446,1.06732211301221
2024-10-19,"BIRR",6.5575,6.28185904027431,0.275640959725689
2024-10-19,"BLC2",6.879,5.51084083502896,1.36815916497104
2024-10-19,"BOTR",7.903875,6.28308563027041,1.62078936972959
2024-10-19,"GHSR",8.922,3.53880145510507,5.38319854489493
2024-10-19,"LEAM",4.81916666666667,4.96163058895442,-0.142463922287749
2024-10-19,"NPT3",7.3635,5.91253308446252,1.45096691553748
2024-10-19,"REA1",5.85308333333333,4.91256721738165,0.94051611595168
2024-10-19,"SOUT",6.33054166666667,5.91224610504479,0.418295561621878
2024-10-19,"WREX",5.33908333333333,4.75874899568251,0.58033433765082
2024-10-19,"LEAR",4.47325,4.64093880324271,-0.167688803242713
2024-10-19,"PLYM",8.988875,8.47960051939876,0.509274480601242
2024-10-19,"SHDG",7.30645833333333,5.73069318367526,1.57576514965807
2024-10-19,"SHE",6.90154166666667,6.85330963845769,0.0482320282089805
2024-10-19,"BEL2",9.75929166666667,6.50669985407376,3.25259181259291
2024-10-19,"GLKP",8.60645833333333,3.21233685027428,5.39412148305906
2024-10-19,"LECU",5.63204166666667,4.91671820414624,0.715323462520426
2024-10-19,"SUN2",7.334,5.7078351519048,1.6261648480952
2024-10-19,"TRAN",6.15083333333333,4.86625479878277,1.28457853455056
2024-10-19,"STOK",5.43045833333333,5.92689246546185,-0.49643413212852
2024-10-19,"BEX",5.739,7.30265110503723,-1.56365110503723
2024-10-19,"SEND",5.04825,6.66141849222745,-1.61316849222745
2024-10-19,"HUL2",6.60575,7.78881828072544,-1.18306828072544
2024-10-19,"PEMB",8.29804166666667,5.3730828799019,2.92495878676477
2024-10-19,"WFEN",4.16383333333333,5.02168490725192,-0.857851573918592
2024-10-19,"OSY",4.5675,6.46921374134897,-1.90171374134897
2024-10-19,"ACTH",5.07070833333333,2.35361233184151,2.71709600149182
2024-10-19,"COPP",5.82845833333333,5.2741191001614,0.554339233171926
2024-10-20,"EB",6.81508333333333,5.57855705141432,1.23652628191901
2024-10-20,"IMGM",6.42404166666667,5.86840328247548,0.555638384191192
2024-10-20,"PRES",7.73504166666667,6.48102711756319,1.25401454910348
2024-10-20,"BIRR",7.80470833333333,6.96601454544376,0.838693787889565
2024-10-20,"BLC2",10.3086666666667,7.03546062618481,3.27320604048189
2024-10-20,"BOTR",7.56970833333333,7.56514980604848,0.00455852728484984
2024-10-20,"GHSR",6.33654166666667,7.89742462256061,-1.56088295589394
2024-10-20,"LEAM",7.55708333333333,5.45628600020048,2.10079733313285
2024-10-20,"NPT3",10.0374166666667,7.06740933066955,2.97000733599715
2024-10-20,"REA1",7.57079166666667,6.05747336422956,1.51331830243711
2024-10-20,"SOUT",8.70775,6.51564790599945,2.19210209400055
2024-10-20,"WREX",7.40270833333333,5.60487200235129,1.79783633098204
2024-10-20,"LEAR",7.341875,5.18400702426413,2.15786797573587
2024-10-20,"PLYM",13.4699583333333,8.4819077180575,4.9880506152758
2024-10-20,"SHDG",7.46070833333333,7.33983398897065,0.120874344362679
2024-10-20,"SHE",8.190875,7.0380789190613,1.1527960809387
2024-10-20,"BEL2",7.01154166666667,8.64625105752846,-1.63470939086179
2024-10-20,"GLKP",5.92479166666667,7.6203074746918,-1.69551580802512
2024-10-20,"LECU",6.88875,5.96730516803968,0.921444831960317
2024-10-20,"SUN2",7.268125,7.12001085459835,0.148114145401653
2024-10-20,"TRAN",8.08566666666667,6.29322688534984,1.79243978131683
2024-10-20,"STOK",7.63866666666667,6.01310324348094,1.62556342318573
2024-10-20,"BEX",7.169875,6.40892921737329,0.760945782626708
2024-10-20,"SEND",6.67158333333333,5.85116756391315,0.820415769420182
2024-10-20,"HUL2",7.497125,6.96277934317436,0.53434565682564
2024-10-20,"PEMB",11.4229583333333,7.25396204987006,4.16899628346324
2024-10-20,"WFEN",6.950625,4.8856547429298,2.0649702570702
