"date","EB","IMGM","PRES","BIRR","BLC2","BOTR","GHSR","LEAM","NPT3","REA1","SOUT","WREX","LEAR","PLYM","SHDG","SHE","BEL2","GLKP","LECU","SUN2","TRAN","STOK","BEX","SEND","HUL2","PEMB","WFEN","OSY","ACTH","COPP"
2025-01-01,5.44916666666667,2.14425,3.46608333333333,3.08166666666667,4.50575,2.14533333333333,3.2615,3.24979166666667,5.124875,3.05825,4.99908333333333,1.77079166666667,3.19383333333333,7.40375,2.51679166666667,2.30941666666667,3.67445833333333,3.34708333333333,2.437125,2.51283333333333,3.08570833333333,1.85729166666667,3.14079166666667,3.34033333333333,2.95008333333333,5.87675,2.14629166666667,3.801125,2.0966,2.00475
2025-01-02,5.249625,3.26270833333333,8.52208333333333,6.9075,4.44495833333333,6.85141666666667,3.3835,7.70441666666667,8.22725,5.56508333333333,5.58670833333333,4.64725,7.31325,6.35220833333333,3.38845833333333,3.73629166666667,4.035125,2.981625,5.82845833333333,2.77316666666667,4.74845833333333,11.528125,5.49520833333333,5.16016666666667,4.15970833333333,1.97525,4.1795,3.98483333333333,1.84066666666667,7.68279166666667
2025-01-03,5.93358333333333,6.65879166666667,6.714,5.24666666666667,4.59216666666667,5.83333333333333,5.06975,7.738875,10.04125,7.52354166666667,11.9448333333333,2.51579166666667,7.47258333333333,11.161625,5.5415,4.57641666666667,7.39579166666667,4.38783333333333,7.083375,5.27129166666667,3.70954166666667,5.845125,9.43795833333333,8.14079166666667,8.01,2.38408333333333,6.91425,5.606375,2.068625,5.457
2025-01-04,7.49991666666667,11.9182916666667,5.81175,11.1037083333333,5.75075,14.4605833333333,5.88458333333333,8.72741666666667,10.6899583333333,15.6466666666667,13.5024166666667,8.49841666666667,8.18995833333333,6.05245833333333,10.3046666666667,11.261,12.8154583333333,5.80883333333333,8.918125,8.97508333333333,6.367,9.38183333333333,8.16033333333333,8.03366666666667,14.2865416666667,2.948125,9.87916666666667,6.785625,1.97520833333333,8.462125
2025-01-05,5.06591666666667,3.24783333333333,2.41945833333333,4.62270833333333,2.42245833333333,4.76029166666667,4.83395833333333,4.99808333333333,3.64391666666667,2.11970833333333,3.07108333333333,4.664,3.86495833333333,8.335375,4.029125,3.79316666666667,3.154625,4.85266666666667,2.62679166666667,4.90666666666667,3.90029166666667,3.02275,2.68870833333333,2.60229166666667,2.54129166666667,0.884541666666667,1.09721739130435,3.05508333333333,2.16691666666667,4.41925
2025-01-06,3.99866666666667,1.91229166666667,2.37333333333333,2.720125,2.44104166666667,1.82991666666667,2.121625,1.76195833333333,2.87920833333333,2.35358333333333,3.58691666666667,2.158,1.92216666666667,3.628125,1.74920833333333,2.48920833333333,2.69854166666667,1.52720833333333,2.07841666666667,1.88183333333333,2.906875,2.72008333333333,2.87341666666667,3.40408333333333,2.20429166666667,2.68879166666667,1.66170833333333,4.50075,0.729166666666667,2.52845833333333
2025-01-07,2.80666666666667,4.78691666666667,3.88183333333333,4.13329166666667,3.34225,3.19191666666667,3.01195833333333,3.55741666666667,4.66104166666667,3.41004166666667,3.50129166666667,2.90575,3.66366666666667,6.66679166666667,3.158375,4.17258333333333,4.469375,2.33791666666667,4.250125,1.87295833333333,3.447375,3.15054166666667,3.88366666666667,3.82575,4.80333333333333,3.03666666666667,3.08479166666667,3.04329166666667,1.52425,2.643375
2025-01-08,3.23304166666667,8.850125,7.33108333333333,14.053625,8.46691666666667,11.771875,6.39545833333333,9.21975,8.39929166666667,9.232625,6.64504166666667,12.382125,8.98795833333333,3.79125,10.8696666666667,14.50675,18.815875,5.44129166666667,11.5104583333333,6.89570833333333,13.8218333333333,9.96070833333333,6.38770833333333,5.39520833333333,16.6450833333333,3.416875,8.38833333333333,5.39125,2.905875,12.5522083333333
2025-01-09,6.06825,6.945875,15.369625,11.0359583333333,9.948875,9.55879166666667,7.71733333333333,13.131875,9.13720833333333,11.2569166666667,9.83095833333333,5.54741666666667,12.7722916666667,8.11720833333333,7.29854166666667,9.69641666666667,17.5344583333333,6.71883333333333,11.038875,4.82116666666667,12.7929583333333,11.3285416666667,12.519625,8.63020833333333,9.56570833333333,3.85804166666667,12.0686666666667,7.47154166666667,3.29695833333333,18.8414583333333
2025-01-10,12.0076666666667,8.27925,13.5368333333333,18.7579166666667,15.9465416666667,23.693125,9.54804166666667,23.335375,11.4495833333333,19.79075,14.2315,14.3898333333333,23.8455,4.16966666666667,16.9115,12.5600416666667,16.1567083333333,8.93770833333333,32.1070416666667,7.279875,28.3129166666667,21.0859583333333,26.584125,19.5784583333333,12.9364166666667,3.2685,17.6327916666667,13.0106956521739,3.55841666666667,30.6350416666667
2025-01-11,20.4069583333333,15.6339583333333,9.18741666666667,39.0519166666667,10.432375,33.6243333333333,10.822625,30.4542083333333,27.6219166666667,33.6940833333333,18.1821666666667,26.3669583333333,27.77025,5.34691666666667,23.5182083333333,19.9490416666667,11.1054583333333,10.460875,42.519875,14.7720416666667,30.408875,18.5211666666667,43.8051666666667,22.5945,23.3471666666667,9.36329166666667,27.8441666666667,20.113125,2.093125,39.4006666666667
2025-01-12,22.9030833333333,16.6715,14.0174583333333,17.28975,19.430125,29.1305416666667,9.37020833333333,17.4745,20.6102083333333,36.8682916666667,16.3768333333333,21.7227916666667,16.4917083333333,5.26145833333333,15.8579583333333,22.46275,12.2945833333333,9.26495833333333,19.45075,13.805,20.5081666666667,21.8869166666667,26.4977083333333,20.4039166666667,25.2565416666667,7.88916666666667,18.3657916666667,15.19275,4.833,22.2318333333333
2025-01-13,14.0595416666667,7.501125,6.598875,7.63958333333333,7.253375,7.77425,3.246,7.47054166666667,9.1184347826087,12.276,5.38916666666667,5.40104166666667,6.83279166666667,4.45066666666667,7.17775,7.31925,3.91804166666667,3.255625,7.84108333333333,6.69325,5.93758333333333,7.53829166666667,9.82316666666667,7.36841666666667,9.8964347826087,7.35945833333333,9.548,5.78916666666667,0.945458333333333,7.0845
2025-01-14,11.4025,8.57504166666667,4.87620833333333,10.1925833333333,4.5785,10.58675,5.63875,9.78475,10.1130416666667,11.1636956521739,13.795375,5.690875,8.76466666666667,11.0437083333333,9.03995833333333,9.0075,4.16575,5.450125,9.635375,3.15554166666667,5.49041666666667,6.70004166666667,12.905,14.1244583333333,10.9670416666667,5.43145833333333,9.78583333333333,13.3962083333333,2.49508333333333,7.50008333333333
2025-01-15,8.50141666666667,9.82952173913043,10.1701666666667,11.6116666666667,9.44195833333333,11.5960416666667,4.36025,12.184625,10.1279166666667,8.601625,12.4440833333333,10.893375,11.067125,17.7481739130435,13.521125,16.4958333333333,8.48475,3.61245833333333,9.70425,5.41679166666667,15.4344583333333,9.951,12.323125,13.3982916666667,15.05525,7.165,10.0530833333333,12.95725,1.91925,10.6840416666667
